engagement_field,chart_field,n,r,abs_r
bpm_set,duration_s,10027,0.0907,0.0907
bpm_set,density_cv,10027,-0.0883,0.0883
playcount,density_cv,10027,-0.0847,0.0847
rating_mean,long_gap_count,10027,-0.0838,0.0838
passcount,dominant_ioi_ms,10027,-0.083,0.083
rating_mean,density_mean,10027,-0.0808,0.0808
playcount,long_gap_count,10027,-0.0804,0.0804
rating_mean,mean_streak_len,10027,-0.0787,0.0787
pass_rate,gap_random_distance,10027,0.077,0.077
rating_mean,ratio_peak_mass_total,10027,-0.0765,0.0765
rating_mean,gap_peak_count,10027,-0.0762,0.0762
nominations_current,duration_s,10027,-0.0729,0.0729
rating_mean,longest_streak,10027,-0.0719,0.0719
playcount,estimated_bpm,10027,0.0702,0.0702
passcount,gap_random_distance,10027,0.0681,0.0681
rating_mean,gap_peak_mass_total,10027,-0.068,0.068
nominations_current,ratio_peak_mass_total,10027,-0.0679,0.0679
pass_rate,don_ratio,10027,-0.0666,0.0666
nominations_current,gap_peak_mass_total,10027,-0.0666,0.0666
rating_mean,ioi_median_ms,10027,0.0665,0.0665
nominations_current,total_events,10027,-0.0653,0.0653
play_count_set,duration_s,10027,-0.0618,0.0618
rating_mean,gap_metronome_distance,10027,-0.0607,0.0607
passcount,density_cv,10027,-0.0598,0.0598
rating_mean,ratio_metronome_distance,10027,0.0597,0.0597
bpm_set,gap_peak_falloff,10027,-0.0597,0.0597
rating_count,events_per_sec,10027,0.0559,0.0559
bpm_set,gap_peak_count,10027,-0.0555,0.0555
rating_count,ratio_peak_mass_total,10027,-0.0549,0.0549
rating_count,ratio_peak_count,10027,-0.0543,0.0543
nominations_current,star_rating,10027,-0.0538,0.0538
rating_mean,streak_event_fraction,10027,0.0537,0.0537
rating_count,ioi_std_ms,10027,-0.0527,0.0527
rating_count,total_events,10027,-0.0515,0.0515
nominations_current,density_mean,10027,-0.0515,0.0515
nominations_current,events_per_sec,10027,-0.0503,0.0503
rating_count,long_gap_count,10027,-0.0502,0.0502
nominations_current,density_peak,10027,-0.05,0.05
rating_count,density_mean,10027,0.0497,0.0497
nominations_current,over_pspace_self,10027,-0.0495,0.0495
pass_rate,long_gap_count,10027,-0.0491,0.0491
rating_mean,duration_s,10027,-0.049,0.049
rating_count,gap_peak_mass_total,10027,-0.0487,0.0487
bpm_set,longest_streak,10027,0.0483,0.0483
playcount,gap_random_distance,10027,0.0474,0.0474
passcount,longest_streak,10027,0.0462,0.0462
bpm_set,ratio_random_distance,10027,-0.0455,0.0455
favourite_count,ratio_peak_mass_total,10027,-0.0445,0.0445
favourite_count,total_events,10027,-0.0433,0.0433
nominations_current,density_std,10027,-0.0429,0.0429
nominations_current,ratio_metronome_distance,10027,0.0427,0.0427
nominations_current,ioi_mean_ms,10027,0.0426,0.0426
rating_mean,ioi_mean_ms,10027,0.0425,0.0425
nominations_current,ioi_p99_ms,10027,0.0422,0.0422
favourite_count,gap_peak_mass_total,10027,-0.0419,0.0419
rating_count,ioi_p95_ms,10027,-0.0401,0.0401
nominations_current,ioi_p95_ms,10027,0.0401,0.0401
rating_count,streak_event_fraction,10027,0.04,0.04
rating_mean,dominant_ioi_ms,10027,0.0396,0.0396
rating_count,gap_peak_count,10027,-0.0392,0.0392
rating_mean,don_ratio,10027,-0.0386,0.0386
bpm_set,mean_streak_len,10027,0.0386,0.0386
rating_count,ratio_peak_falloff,10027,-0.0383,0.0383
rating_count,ratio_metronome_distance,10027,-0.0383,0.0383
favourite_count,duration_s,10027,-0.0375,0.0375
nominations_current,ioi_median_ms,10027,0.0369,0.0369
rating_count,ioi_mean_ms,10027,-0.0367,0.0367
rating_count,ioi_p99_ms,10027,-0.036,0.036
play_count_set,ioi_std_ms,10027,-0.0351,0.0351
play_count_set,ratio_peak_mass_total,10027,-0.0347,0.0347
bpm_set,don_ratio,10027,0.0339,0.0339
play_count_set,total_events,10027,-0.0333,0.0333
play_count_set,gap_peak_mass_total,10027,-0.0329,0.0329
rating_count,gap_metronome_distance,10027,-0.0329,0.0329
play_count_set,ratio_peak_count,10027,-0.0327,0.0327
rating_count,density_peak,10027,0.0322,0.0322
play_count_set,ratio_random_distance,10027,0.0321,0.0321
rating_count,ratio_random_distance,10027,0.0318,0.0318
nominations_current,dominant_ioi_ms,10027,0.0318,0.0318
play_count_set,gap_peak_count,10027,-0.0316,0.0316
rating_count,density_std,10027,0.0315,0.0315
nominations_current,estimated_bpm,10027,-0.031,0.031
rating_count,ioi_median_ms,10027,-0.0306,0.0306
rating_count,star_rating,10027,0.03,0.03
favourite_count,star_rating,10027,-0.0296,0.0296
rating_count,gap_peak_falloff,10027,-0.0296,0.0296
favourite_count,over_pspace_self,10027,-0.0292,0.0292
play_count_set,gap_random_distance,10027,0.0281,0.0281
rating_count,dominant_ioi_ms,10027,-0.028,0.028
play_count_set,long_gap_count,10027,-0.0277,0.0277
playcount,don_ratio,10027,0.0275,0.0275
rating_mean,short_ioi_pct,10027,-0.0272,0.0272
favourite_count,density_peak,10027,-0.0268,0.0268
pass_rate,short_ioi_pct,10027,-0.0266,0.0266
play_count_set,gap_metronome_distance,10027,-0.0254,0.0254
passcount,ratio_peak_mass_total,10027,-0.0252,0.0252
play_count_set,ioi_p95_ms,10027,-0.0251,0.0251
rating_count,gap_random_distance,10027,0.025,0.025
rating_count,estimated_bpm,10027,0.0249,0.0249
favourite_count,density_mean,10027,-0.0241,0.0241
favourite_count,gap_metronome_distance,10027,-0.0237,0.0237
nominations_current,density_cv,10027,0.0228,0.0228
play_count_set,gap_peak_falloff,10027,-0.0224,0.0224
play_count_set,events_per_sec,10027,0.0221,0.0221
nominations_current,longest_streak,10027,-0.0219,0.0219
pass_rate,ratio_random_distance,10027,0.0216,0.0216
favourite_count,don_ratio,10027,-0.0216,0.0216
rating_mean,ioi_p95_ms,10027,0.0216,0.0216
nominations_current,streak_event_fraction,10027,-0.0215,0.0215
rating_count,density_cv,10027,-0.0214,0.0214
rating_mean,ioi_std_ms,10027,-0.0208,0.0208
play_count_set,ioi_p99_ms,10027,-0.0206,0.0206
favourite_count,estimated_bpm,10027,-0.0205,0.0205
rating_mean,ioi_p99_ms,10027,-0.0204,0.0204
play_count_set,don_ratio,10027,-0.0202,0.0202
favourite_count,longest_streak,10027,-0.0202,0.0202
nominations_current,ratio_peak_falloff,10027,0.0201,0.0201
passcount,estimated_bpm,10027,0.0192,0.0192
favourite_count,events_per_sec,10027,-0.0191,0.0191
bpm_set,gap_random_distance,10027,-0.0191,0.0191
nominations_current,ioi_std_ms,10027,0.0191,0.0191
play_count_set,ioi_mean_ms,10027,-0.0188,0.0188
favourite_count,gap_random_distance,10027,0.0185,0.0185
passcount,total_events,10027,-0.0177,0.0177
favourite_count,gap_peak_count,10027,-0.0177,0.0177
favourite_count,density_std,10027,-0.0174,0.0174
favourite_count,ratio_random_distance,10027,0.0174,0.0174
favourite_count,density_cv,10027,0.0171,0.0171
